Time Step,Time of Day,Edge ID,Pedestrian Density,Latitude,Longitude
720,18:12:00,:12625990039_1_0,3.08182784272051,33.94024653130135,-84.51701970364128
720,18:12:00,:8549651552_6_0,2.835538752362949,33.94008726971565,-84.51702205834403
720,18:12:00,-1134398602_0,10.0,33.938798036629386,-84.52105672121651
720,18:12:00,-346382722#1_0,2.2222222222222223,33.93874744125354,-84.51968237182258
720,18:12:00,:2342378668_2_0,3.571428571428571,33.938048763100944,-84.51985018706972
720,18:12:00,225470245#2_0,5.0,33.940427613587225,-84.51981145354448
720,18:12:00,-225470262#0_0,5.0,33.93928680570014,-84.51875862734926
780,18:13:00,-225470244#4_0,2.068014705882353,33.93998822961685,-84.5212186448786
780,18:13:00,:5599550287_8_0,2.4285714285714284,33.9406847081393,-84.51883476699419
780,18:13:00,-225470244#0_0,4.472544198571596,33.940993997808306,-84.52072465810969
780,18:13:00,-225470257_0,4.886412344620661,33.9408791788246,-84.51994384325106
780,18:13:00,:2342415677_6_0,4.601226993865031,33.94047196785136,-84.51982022658422
780,18:13:00,:2342415633_7_0,4.929577464788733,33.94094129973014,-84.5199618364582
780,18:13:00,:cluster_5431067282_5599550269_9654224075_10_0,2.4096385542168677,33.94033597020611,-84.51868241543791
780,18:13:00,-1134398602_0,5.0,33.938798036629386,-84.52105672121651
780,18:13:00,-1134398600#2_0,2.150537634408602,33.93877786205949,-84.5211159345493
780,18:13:00,-225485362#1_0,2.0833333333333335,33.93882857281175,-84.52193266434955
780,18:13:00,-225470245#2_0,5.0,33.940444000335965,-84.5198193073335
780,18:13:00,-180244645_0,5.0,33.9407225508705,-84.51877547161725
780,18:13:00,225470262#0_0,5.0,33.93929812190349,-84.51874304678343
780,18:13:00,-225470265#1_0,5.0,33.9406069414157,-84.5189798120925
780,18:13:00,225470245#2_0,5.0,33.940427613587225,-84.51981145354448
780,18:13:00,1134398601#2_0,5.0,33.93882831828325,-84.52103377631191
840,18:14:00,-225470244#0_0,3.6646762674159934,33.940993997808306,-84.52072465810969
840,18:14:00,-225470257_0,4.886412344620661,33.9408791788246,-84.51994384325106
840,18:14:00,-225470245#2_0,10.0,33.940444000335965,-84.5198193073335
840,18:14:00,:2342415677_6_0,4.294478527607362,33.94047196785136,-84.51982022658422
840,18:14:00,-180244645_0,10.0,33.9407225508705,-84.51877547161725
840,18:14:00,-225485362#1_0,2.0833333333333335,33.93882857281175,-84.52193266434955
840,18:14:00,:2342415633_7_0,4.788732394366197,33.94094129973014,-84.5199618364582
840,18:14:00,:2342378668_2_0,7.142857142857142,33.938048763100944,-84.51985018706972
840,18:14:00,-225470262#0_0,10.0,33.93928680570014,-84.51875862734926
900,18:15:00,-225470244#0_0,2.716309565624634,33.940993997808306,-84.52072465810969
900,18:15:00,-225470257_0,4.886412344620661,33.9408791788246,-84.51994384325106
900,18:15:00,:2342378480_2_0,2.397260273972603,33.93789665794587,-84.51985871051306
900,18:15:00,:2342415677_6_0,3.6809815950920246,33.94047196785136,-84.51982022658422
900,18:15:00,-180244645_0,5.0,33.9407225508705,-84.51877547161725
900,18:15:00,:2342415633_7_0,5.070422535211268,33.94094129973014,-84.5199618364582
900,18:15:00,-225470262#0_0,5.0,33.93928680570014,-84.51875862734926
900,18:15:00,-1134398600#2_0,2.150537634408602,33.93877786205949,-84.5211159345493
900,18:15:00,-225470245#2_0,10.0,33.940444000335965,-84.5198193073335
900,18:15:00,:2342378668_2_0,3.571428571428571,33.938048763100944,-84.51985018706972
960,18:16:00,:7265220269_6_0,2.7027027027027026,33.940022668931434,-84.52029234442985
960,18:16:00,-225466081#2_0,5.0,33.93861336195964,-84.52157437006221
960,18:16:00,:2342415677_6_0,4.601226993865031,33.94047196785136,-84.51982022658422
960,18:16:00,-225470257_0,4.950707243891985,33.9408791788246,-84.51994384325106
960,18:16:00,-778437843#0_0,5.0,33.94101343637341,-84.52078553658033
960,18:16:00,:2342415492_0_0,2.4495677233429394,33.93883954927043,-84.52019513067768
960,18:16:00,-225470262#0_0,5.0,33.93928680570014,-84.51875862734926
960,18:16:00,:2342415633_7_0,4.929577464788733,33.94094129973014,-84.5199618364582
960,18:16:00,-225485362#1_0,2.0833333333333335,33.93882857281175,-84.52193266434955
960,18:16:00,-180244645_0,5.0,33.9407225508705,-84.51877547161725
960,18:16:00,-225470245#2_0,10.0,33.940444000335965,-84.5198193073335
1020,18:17:00,-778437843#0_0,5.0,33.94101343637341,-84.52078553658033
1020,18:17:00,-225470245#2_0,5.0,33.940444000335965,-84.5198193073335
1020,18:17:00,-225470257_0,4.929275610801543,33.9408791788246,-84.51994384325106
1020,18:17:00,:2342415633_7_0,5.070422535211268,33.94094129973014,-84.5199618364582
1020,18:17:00,:2342415677_6_0,4.601226993865031,33.94047196785136,-84.51982022658422
1020,18:17:00,-1134398602_0,5.0,33.938798036629386,-84.52105672121651
1020,18:17:00,-225466110#3_0,5.0,33.93880789318166,-84.52080310057426
1020,18:17:00,-180244645_0,5.0,33.9407225508705,-84.51877547161725
1080,18:18:00,-225466081#2_0,10.0,33.93861336195964,-84.52157437006221
1080,18:18:00,-225466110#3_0,5.0,33.93880789318166,-84.52080310057426
1080,18:18:00,-225470257_0,4.329189884269182,33.9408791788246,-84.51994384325106
1080,18:18:00,:2342415677_6_0,4.601226993865031,33.94047196785136,-84.51982022658422
1080,18:18:00,-225470245#2_0,5.0,33.940444000335965,-84.5198193073335
1080,18:18:00,778437844#0_0,5.0,33.940953276493346,-84.52112889188555
1080,18:18:00,-1134398602_0,5.0,33.938798036629386,-84.52105672121651
1140,18:19:00,:2342415677_6_0,4.601226993865031,33.94047196785136,-84.51982022658422
1140,18:19:00,-225470257_0,2.743249035576511,33.9408791788246,-84.51994384325106
1140,18:19:00,-180244645_0,5.0,33.9407225508705,-84.51877547161725
1140,18:19:00,-225466081#3_0,5.0,33.93859512456781,-84.5215328206843
1140,18:19:00,-225470262#0_0,5.0,33.93928680570014,-84.51875862734926
1140,18:19:00,-225470245#2_0,5.0,33.940444000335965,-84.5198193073335
1200,18:20:00,-1134398602_0,5.0,33.938798036629386,-84.52105672121651
1200,18:20:00,:2342415677_6_0,4.294478527607362,33.94047196785136,-84.51982022658422
1200,18:20:00,-225485362#1_0,2.0833333333333335,33.93882857281175,-84.52193266434955
1200,18:20:00,-225470245#2_0,10.0,33.940444000335965,-84.5198193073335
1260,18:21:00,:5257043612_0_0,2.0242914979757085,33.93881409225591,-84.52153599090134
1260,18:21:00,-225466110#3_0,5.0,33.93880789318166,-84.52080310057426
1260,18:21:00,-225485362#1_0,2.0833333333333335,33.93882857281175,-84.52193266434955
1320,18:22:00,-1134398602_0,5.0,33.938798036629386,-84.52105672121651
1320,18:22:00,-225466081#2_0,5.0,33.93861336195964,-84.52157437006221
1380,18:23:00,-225466081#2_0,5.0,33.93861336195964,-84.52157437006221
1440,18:24:00,-225485362#1_0,2.0833333333333335,33.93882857281175,-84.52193266434955
1440,18:24:00,-225466081#2_0,5.0,33.93861336195964,-84.52157437006221
