Time,Total Pedestrians,Mean Speed,Waiting Pedestrians,Average Route Time,Throughput,Max Pedestrian Density,Max Density Lane,Max Waiting Time,Total Distance Traveled,Average Distance,Deviation from Shortest Route
03:02:00,6,1.2656041020351412,0,333.3333333333333,0,0.23980815347721823,:2342415540_12_0,0.0,5602.071397624373,311.2261887569096,1.0
03:03:00,6,1.2286406172745339,0,333.3333333333333,0,0.1798561151079137,:2342415677_4_0,0.0,5602.071397624373,311.2261887569096,1.0
03:04:00,5,1.2633607826195576,0,328.42105263157896,1,0.05955926146515784,-225466096#3_0,0.0,5810.641288406567,305.82322570560876,1.0
03:05:00,3,1.1895981474113653,0,325.7142857142857,2,0.16778523489932887,225470240#4_0,0.0,6330.904235534111,301.4716302635291,1.0
03:06:00,2,1.4385481210887971,0,327.27272727272725,1,0.18281535648994515,:2342378650_0_0,0.0,6532.705877624161,296.9411762556437,1.0
03:07:00,0,0,0,335.0,2,0,,0,7406.567768125673,308.6069903385697,1.0
03:08:00,0,0,0,335.0,0,0,,0,7406.567768125673,308.6069903385697,1.0
03:09:00,0,0,0,335.0,0,0,,0,7406.567768125673,308.6069903385697,1.0
03:10:00,0,0,0,335.0,0,0,,0,7406.567768125673,308.6069903385697,1.0
03:11:00,0,0,0,335.0,0,0,,0,7406.567768125673,308.6069903385697,1.0
03:12:00,0,0,0,335.0,0,0,,0,7406.567768125673,308.6069903385697,1.0
03:13:00,0,0,0,335.0,0,0,,0,7406.567768125673,308.6069903385697,1.0
03:14:00,0,0,0,335.0,0,0,,0,7406.567768125673,308.6069903385697,1.0
03:15:00,0,0,0,335.0,0,0,,0,7406.567768125673,308.6069903385697,1.0
03:16:00,0,0,0,335.0,0,0,,0,7406.567768125673,308.6069903385697,1.0
03:17:00,0,0,0,335.0,0,0,,0,7406.567768125673,308.6069903385697,1.0
03:18:00,0,0,0,335.0,0,0,,0,7406.567768125673,308.6069903385697,1.0
03:19:00,0,0,0,335.0,0,0,,0,7406.567768125673,308.6069903385697,1.0
03:20:00,0,0,0,335.0,0,0,,0,7406.567768125673,308.6069903385697,1.0
03:21:00,0,0,0,335.0,0,0,,0,7406.567768125673,308.6069903385697,1.0
03:22:00,0,0,0,335.0,0,0,,0,7406.567768125673,308.6069903385697,1.0
